,name,movie_acted,num_of_movie,sum_score,sum_nor_popularity,avg_score,avg_nor_popularity,nor_movie_count,scaled_avg_score
40818,Michał Czernecki,"['tm1219931', 'tm1111616']",2,10.95,1.13,5.4750000000000005,0.565,0.22,0.55
40819,Piotr Rogucki,"['tm1219931', 'tm1111616']",2,10.95,1.13,5.4750000000000005,0.565,0.22,0.55
40820,Katarzyna Zielińska,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40821,Grzegorz Warchoł,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40822,Kamil Szeptycki,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40823,Leszek Piskorz,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40824,Ina Sobala,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40825,Wasyl Wasylik,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40826,Maria Czerepinska,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40827,Tobiasz Wiercichowski,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40828,Mikolaj Bogusz,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40829,Kamil Studnicki,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40830,Robert Gulaczyk,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40831,Tomasz Schimscheiner,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40832,Matt Malecki,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40833,Tomasz Drabek,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40834,Jakub Rutkowski,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40835,Dorota Pomykała,['tm1219931'],1,5.300000000000001,0.6,5.300000000000001,0.6,0.0,0.53
40836,Pelé,['tm991351'],1,7.25,0.57,7.25,0.57,0.0,0.73
40837,Zagallo,['tm991351'],1,7.25,0.57,7.25,0.57,0.0,0.73
40838,Gilberto Gil,['tm991351'],1,7.25,0.57,7.25,0.57,0.0,0.73
40839,Benedita da Silva,['tm991351'],1,7.25,0.57,7.25,0.57,0.0,0.73
