id,name,title,imdb_score,tmdb_score,imdb_votes,tmdb_popularity,nor_imdb_vote,nor_tmdb_popularity,weighted_average_popularity
tm15897,David Fincher,Se7en,8.6,8.352,1606270.0,51.633,0.97,0.7,0.84
tm191013,Paul Thomas Anderson,Boogie Nights,7.9,7.6,261563.0,20.436,0.83,0.62,0.72
tm122434,Robert Zemeckis,Forrest Gump,8.8,8.478,2021343.0,63.449,0.99,0.71,0.85
tm25947,Guy Ritchie,Snatch,8.3,7.8,841435.0,25.203,0.92,0.64,0.78
tm43808,Anthony Minghella,The Talented Mr. Ripley,7.4,7.2,207524.0,13.78,0.82,0.59,0.7
tm191110,James Cameron,Titanic,7.9,7.878,1146825.0,155.683,0.95,0.78,0.86
tm192037,Paul Verhoeven,Starship Troopers,7.3,6.993,291452.0,29.5,0.84,0.65,0.74
tm27395,John Woo,Mission: Impossible II,6.1,6.1,337987.0,29.392,0.85,0.65,0.75
tm113513,Peter Farrelly,Dumb and Dumber,7.3,6.6,379999.0,31.852,0.86,0.66,0.76
tm192405,Andrew Niccol,Gattaca,7.8,7.553,300701.0,17.789,0.84,0.61,0.72
tm116655,Luc Besson,Léon: The Professional,8.5,8.323,1137357.0,51.406,0.95,0.7,0.82
tm116488,Oliver Stone,Natural Born Killers,7.3,7.1,11.0,21.933,0.06,0.63,0.34
tm11556,Sam Raimi,The Quick and the Dead,6.5,6.5,93767.0,13.056,0.75,0.59,0.67
tm56574,Nora Ephron,You've Got Mail,6.7,6.643,211635.0,21.724,0.82,0.63,0.72
tm53991,Dennis Dugan,Big Daddy,6.4,6.45,215053.0,26.848,0.82,0.64,0.73
tm49178,John Carpenter,Vampires,6.1,6.3,58670.0,10.108,0.72,0.56,0.64
tm191989,Mike Newell,Donnie Brasco,7.7,7.5,303868.0,22.225,0.84,0.63,0.74
tm121879,Robert Redford,A River Runs Through It,7.2,7.1,59854.0,19.58,0.72,0.62,0.67
tm44402,James Mangold,"Girl, Interrupted",7.3,7.6,183154.0,20.424,0.81,0.62,0.72
tm187187,John McTiernan,Last Action Hero,6.4,6.379,150498.0,22.196,0.79,0.63,0.71
tm6859,Howard Zieff,My Girl,6.9,7.4,80590.0,20.545,0.74,0.62,0.68
tm118238,Lawrence Kasdan,Wyatt Earp,6.7,6.751,50774.0,14.677,0.71,0.59,0.65
tm111163,Chuck Russell,Eraser,6.1,6.0,110921.0,19.437,0.77,0.62,0.7
tm190835,Hideaki Anno,Neon Genesis Evangelion: The End of Evangelion,8.0,8.4,53152.0,32.569,0.71,0.66,0.68
tm190835,Kazuya Tsurumaki,Neon Genesis Evangelion: The End of Evangelion,8.0,8.4,53152.0,32.569,0.71,0.66,0.68
tm192769,Stephen Kessler,Vegas Vacation,5.9,6.1,49377.0,12.537,0.71,0.58,0.64
tm187791,Wolfgang Petersen,In the Line of Fire,7.2,6.973,102916.0,19.8,0.76,0.62,0.69
tm113576,Gillian Armstrong,Little Women,7.3,7.314,58178.0,13.683,0.72,0.59,0.66
tm65686,Stuart Baird,U.S. Marshals,6.5,6.5,105286.0,24.205,0.76,0.63,0.7
tm191387,Luis Llosa,Anaconda,4.8,5.1,104213.0,34.405,0.76,0.66,0.71
tm19494,Howard Deutch,The Replacements,6.6,6.6,64771.0,30.982,0.73,0.65,0.69
tm191772,Jean-Jacques Annaud,Seven Years in Tibet,7.1,7.2,142903.0,13.766,0.79,0.59,0.69
tm12499,Irwin Winkler,The Net,5.9,6.0,66667.0,15.935,0.73,0.6,0.66
tm186589,Renny Harlin,Cliffhanger,6.5,6.5,128972.0,27.78,0.78,0.65,0.72
tm189764,Albert Hughes,Menace II Society,7.5,7.542,58179.0,13.928,0.72,0.59,0.66
tm189764,Allen Hughes,Menace II Society,7.5,7.542,58179.0,13.928,0.72,0.59,0.66
tm10739,Robert Longo,Johnny Mnemonic,5.6,5.7,71563.0,10.75,0.73,0.57,0.65
tm1822,Charles T. Kanganis,3 Ninjas Kick Back,4.5,5.5,9321.0,12.603,0.58,0.58,0.58
tm55369,David Moreton,Edge of Seventeen,6.8,6.5,6549.0,6.276,0.55,0.53,0.54
tm192431,Alan J. Pakula,The Devil's Own,6.2,6.1,65323.0,12.863,0.73,0.58,0.66
tm192199,Mark A.Z. Dippé,Spawn,5.2,5.343,68184.0,16.989,0.73,0.61,0.67
tm56033,Mike Hodges,Croupier,7.0,6.8,21599.0,8.381,0.64,0.55,0.6
tm117488,Christopher Cain,The Next Karate Kid,4.5,5.318,30422.0,20.185,0.67,0.62,0.64
tm190811,Walter Hill,Geronimo: An American Legend,6.5,6.3,11709.0,8.136,0.6,0.55,0.57
tm191431,Tsui Hark,Double Team,4.8,5.1,34396.0,14.599,0.68,0.59,0.64
tm10811,James Mangold,Heavy,6.8,6.8,5047.0,3.308,0.53,0.47,0.5
tm49839,Ice Cube,The Players Club,5.9,6.3,6676.0,9.25,0.55,0.56,0.56
tm67635,Karan Johar,Kuch Kuch Hota Hai,7.6,7.7,52036.0,12.35,0.71,0.58,0.64
tm320211,John Smithson,Children of God,6.3,6.4,612.0,0.685,0.37,0.35,0.36
tm7073,Alan J. Levi,Knight Rider 2000,4.5,5.1,3207.0,7.945,0.5,0.55,0.52
tm117873,Sooraj Barjatya,Hum Aapke Hain Koun..!,7.5,6.5,21123.0,6.314,0.64,0.53,0.58
tm55100,Mani Ratnam,Dil Se..,7.5,6.8,28586.0,7.811,0.66,0.54,0.6
tm64817,Marty Callner,Jerry Seinfeld: I'm Telling You for the Last Time,7.9,7.6,5879.0,5.822,0.54,0.52,0.53
tm188606,Haile Gerima,Sankofa,7.0,6.5,692.0,1.858,0.38,0.43,0.4
tm41525,Luis Estrada,Herod's Law,7.8,7.9,6035.0,10.506,0.54,0.57,0.55
tm189171,Marcelo Piñeyro,Wild Tango,6.7,6.1,1584.0,5.092,0.44,0.51,0.48
tm63514,James Moll,The Last Days,7.9,7.8,4378.0,3.766,0.52,0.49,0.5
tm21911,,Sam Kinison: Live in Vegas,6.6,6.0,276.0,0.656,0.31,0.34,0.32
