id,name,title,imdb_score,tmdb_score,imdb_votes,tmdb_popularity,nor_imdb_vote,nor_tmdb_popularity,weighted_average_popularity
tm441915,Chanda Bell,Elf Pets: Santa's St. Bernards Save Christmas,5.3,2.0,95.0,1.648,0.23,0.42,0.32
tm361633,Shirley Frimpong-Manso,Potato Potahto,4.1,2.8,212.0,1.829,0.29,0.43,0.36
tm368006,Michael McKay,Harith Iskander: I Told You So,4.6,5.5,173.0,2.411,0.27,0.45,0.36
tm840936,,Zoé: Panoramas,6.8,,78.0,5.862,0.21,0.52,0.36
tm430459,Roberto Girault,La Leyenda del Diamante,3.3,5.25,51.0,12.871,0.18,0.58,0.38
tm440324,Andrés Felipe Orjuela,Santo cachón,4.7,6.0,56.0,2.665,0.19,0.46,0.32
tm1146751,,Bahasha,7.0,,24.0,5.862,0.12,0.52,0.32
tm411528,Max Amini,Enissa Amani: Ehrenwort,5.5,5.6,194.0,1.143,0.28,0.39,0.34
tm153164,Ranjit Jeyakodi,Puriyaatha Puthir,6.5,7.1,1049.0,1.612,0.41,0.42,0.42
tm320949,Raúl Campos,Simplemente Manu NNa,5.4,3.8,51.0,1.4,0.18,0.41,0.3
tm320949,Jan Suter,Simplemente Manu NNa,5.4,3.8,51.0,1.4,0.18,0.41,0.3
tm428877,Müfit Can Saçıntı,Babamın Ceketi,4.9,5.1,862.0,2.017,0.4,0.44,0.42
tm314677,,Silence Is Welcome,5.1,4.6,106.0,2.331,0.23,0.45,0.34
tm306680,,Grillo vs Grillo,5.3,6.0,130.0,1.123,0.25,0.39,0.32
tm430748,Hari Nath,Neevevaro,6.9,6.5,809.0,1.677,0.39,0.42,0.4
tm369452,Raúl Campos,Sebastián Marcelo Wainraich,6.4,6.5,106.0,1.03,0.23,0.38,0.3
tm369452,Jan Suter,Sebastián Marcelo Wainraich,6.4,6.5,106.0,1.03,0.23,0.38,0.3
tm471288,Stephina Zwane,Baby Mamas,6.6,,63.0,0.641,0.19,0.34,0.26
tm444907,,Lovefucked,,5.8,2591.0,1.812,0.48,0.43,0.45
tm491499,,Fan of Amoory,6.0,,38.0,5.862,0.16,0.52,0.34
tm493814,,Satria Heroes: Revenge of the Darkness,4.4,,69.0,5.862,0.2,0.52,0.36
tm404610,,Stretch Armstrong: The Breakout,,6.0,2591.0,1.18,0.48,0.39,0.44
tm465864,Hasan Aljaberi,Hajwala 2: Mysterious Mission,3.9,4.0,93.0,1.533,0.22,0.41,0.32
tm465864,Ibrahim Bin Mohamed,Hajwala 2: Mysterious Mission,3.9,4.0,93.0,1.533,0.22,0.41,0.32
tm433087,,Rise: Ini Kalilah,5.1,7.5,41.0,1.715,0.16,0.42,0.29
tm336084,K. M. Sarjun,Echcharikkai,6.3,4.9,312.0,1.697,0.32,0.42,0.37
tm360763,Guntur Soeharjanto,Verses of Love 2,5.5,6.8,609.0,2.821,0.37,0.46,0.42
tm370472,Michael McKay,Kavin Jay : Everybody Calm Down!,5.9,4.6,236.0,1.655,0.3,0.42,0.36
tm368697,Cathy Garcia-Molina,Unexpectedly Yours,6.7,7.5,180.0,2.461,0.27,0.45,0.36
tm420789,Prasobh VIjayan,Lilli,5.7,6.1,281.0,1.033,0.31,0.38,0.34
tm448690,Jonathan A. Rosenbaum,Prince of Peoria: A Christmas Moose Miracle,,5.8,2591.0,1.842,0.48,0.43,0.45
tm819641,Diana Chao,Match,4.1,,7.0,0.6,0.03,0.34,0.18
tm458186,Nur Imran Mithu,Komola Rocket,7.4,6.0,1037.0,2.181,0.41,0.44,0.42
tm430496,Jay Chapman,D.L. Hughley: Contrarian,6.5,5.2,610.0,2.29,0.37,0.45,0.41
tm327926,Rana Eid,Panoptic,6.3,5.0,60.0,0.928,0.19,0.37,0.28
tm327636,Daniel Gray Longino,Joe Mande's Award-Winning Comedy Special,6.1,6.3,509.0,2.079,0.35,0.44,0.4
tm366383,Gupse Özay,Deliha 2,4.7,5.9,2594.0,5.949,0.48,0.52,0.5
tm349134,Rodrigo Toro Solovera,Fabrizio Copano: solo pienso en mí,5.0,5.8,34.0,0.808,0.15,0.36,0.26
tm349134,Francisco Schultz,Fabrizio Copano: solo pienso en mí,5.0,5.8,34.0,0.808,0.15,0.36,0.26
tm285712,Lance Bangs,Jen Kirkman: Just Keep Livin'?,6.8,6.7,1290.0,1.904,0.43,0.43,0.43
tm834886,,Wedy Atkalam,5.7,,18.0,5.862,0.1,0.52,0.31
tm494577,Kayode Kasum,Oga Bolaji,,,2591.0,1.102,0.48,0.39,0.44
tm426260,Rano Karno,Si Doel the Movie,6.8,7.4,417.0,1.447,0.34,0.41,0.38
tm441050,Guy Ritchie,The Gentlemen,7.8,7.687,325385.0,67.919,0.85,0.72,0.78
tm510203,Lydia Dean Pilcher,A Call to Spy,6.6,6.8,7091.0,11.78,0.56,0.58,0.57
tm681578,Dave Franco,The Rental,5.7,5.6,30613.0,53.311,0.67,0.7,0.68
tm369594,Charlie Kaufman,I'm Thinking of Ending Things,6.6,6.6,83093.0,17.61,0.75,0.61,0.68
tm244149,Martin Scorsese,The Irishman,7.8,7.6,376379.0,21.075,0.86,0.62,0.74
tm496322,Sam Hargrave,Extraction,6.7,7.4,196105.0,51.91,0.81,0.7,0.76
tm863808,Philippa Ehrlich,My Octopus Teacher,8.1,8.0,52771.0,19.276,0.71,0.62,0.66
tm863808,James Reed,My Octopus Teacher,8.1,8.0,52771.0,19.276,0.71,0.62,0.66
tm827638,Aaron Moorhead,Synchronic,6.2,6.3,29455.0,13.498,0.67,0.59,0.63
tm827638,Justin Benson,Synchronic,6.2,6.3,29455.0,13.498,0.67,0.59,0.63
tm460124,Karen Maine,"Yes, God, Yes",6.1,6.4,15155.0,41.666,0.61,0.68,0.64
tm824398,Galder Gaztelu-Urrutia,The Platform,7.0,7.003,213699.0,47.725,0.82,0.69,0.75
tm911973,Harry Bradbeer,Enola Holmes,6.6,7.3,162511.0,22.461,0.8,0.63,0.72
tm849003,Gina Prince-Bythewood,The Old Guard,6.6,7.2,158247.0,20.588,0.79,0.62,0.7
tm845489,Remi Weekes,His House,6.5,6.5,39988.0,27.065,0.69,0.64,0.66
tm403709,Noah Baumbach,Marriage Story,7.9,7.8,298303.0,28.268,0.84,0.65,0.74
tm362198,André Øvredal,Scary Stories to Tell in the Dark,6.2,6.5,74754.0,36.326,0.74,0.67,0.7
tm368699,Antonio Campos,The Devil All the Time,7.1,7.3,122321.0,22.872,0.78,0.63,0.7
tm828369,Pawo Choyning Dorji,Lunana: A Yak in the Classroom,7.4,7.4,3257.0,6.869,0.5,0.53,0.52
tm502532,Louie Schwartzberg,Fantastic Fungi,7.4,7.3,8430.0,9.263,0.57,0.56,0.56
tm417392,David Michôd,The King,7.2,7.2,124438.0,25.987,0.78,0.64,0.71
tm414584,Adrian Grünberg,Rambo: Last Blood,6.1,6.5,96740.0,88.199,0.76,0.74,0.75
tm817504,David Marmor,1BR,5.8,6.1,12397.0,15.943,0.6,0.6,0.6
tm412937,Karzan Kader,Trading Paint,4.4,5.6,1996.0,8.786,0.46,0.55,0.5
tm456156,J.D. Dillard,Sweetheart,5.8,6.5,8191.0,12.174,0.57,0.58,0.57
tm943790,Jessica Swale,Summerland,7.0,7.6,6827.0,9.77,0.55,0.56,0.56
tm239927,Gavin Hood,Official Secrets,7.3,7.249,46901.0,13.217,0.7,0.59,0.64
tm919961,Kornél Mundruczó,Pieces of a Woman,7.0,7.098,48664.0,10.502,0.7,0.57,0.64
tm427335,Adam B. Stein,Freaks,6.7,6.8,35021.0,56.909,0.68,0.7,0.69
tm427335,Zach Lipovsky,Freaks,6.7,6.8,35021.0,56.909,0.68,0.7,0.69
tm431321,Brian Kirk,21 Bridges,6.6,6.7,65845.0,29.285,0.73,0.65,0.69
tm417553,Michael Bay,6 Underground,6.1,6.327,172083.0,68.45,0.8,0.72,0.76
tm821789,David Fincher,Mank,6.8,6.8,72295.0,13.068,0.73,0.59,0.66
tm834851,J Blakeson,I Care a Lot,6.3,6.6,129321.0,30.192,0.78,0.65,0.72
tm827648,Vince Gilligan,El Camino: A Breaking Bad Movie,7.3,6.91,216847.0,42.566,0.82,0.68,0.75
tm460948,Nahnatchka Khan,Always Be My Maybe,6.8,6.6,55686.0,11.434,0.71,0.57,0.64
tm847085,Jeff Orlowski,The Social Dilemma,7.6,7.5,80916.0,20.38,0.74,0.62,0.68
tm494295,James Sweeney,Straight Up,6.8,6.9,2445.0,6.099,0.48,0.52,0.5
tm916405,Rod Lurie,The Outpost,6.8,6.9,32952.0,31.294,0.67,0.66,0.66
tm823545,Albert Shin,Disappearance at Clifton Hill,5.4,5.4,3612.0,5.746,0.5,0.52,0.51
tm244207,J.C. Chandor,Triple Frontier,6.4,6.3,125883.0,28.54,0.78,0.65,0.72
tm849004,David Dobkin,Eurovision Song Contest: The Story of Fire Saga,6.5,6.4,92086.0,10.817,0.75,0.57,0.66
tm423666,Frant Gwo,The Wandering Earth,5.9,6.4,30297.0,25.187,0.67,0.64,0.66
tm818266,,The Forgotten Battle,7.1,7.2,27275.0,33.974,0.66,0.66,0.66
tm813695,Roger Kumble,After We Collided,5.0,7.251,30522.0,236.101,0.67,0.82,0.74
tm448792,Jim Mickle,In the Shadow of the Moon,6.2,6.2,52206.0,23.952,0.71,0.63,0.67
tm1121246,Jeff Chan,Code 8,6.1,6.2,39469.0,18.193,0.69,0.61,0.65
tm447963,Brad Anderson,Fractured,6.4,6.7,72478.0,35.497,0.73,0.67,0.7
tm832345,Tomasz Mandes,365 Days,3.3,7.044,84940.0,48.792,0.75,0.69,0.72
tm832345,Barbara Bialowas,365 Days,3.3,7.044,84940.0,48.792,0.75,0.69,0.72
tm428856,Grant Sputore,I Am Mother,6.7,6.696,89926.0,20.904,0.75,0.62,0.68
tm983787,Tate Taylor,Ava,5.4,5.753,54279.0,155.235,0.71,0.78,0.74
tm840196,Aaron Sorkin,The Trial of the Chicago 7,7.7,7.8,173103.0,15.07,0.8,0.6,0.7
tm455636,Jeff Tremaine,The Dirt,6.9,7.518,48445.0,15.86,0.7,0.6,0.65
tm824331,Elise Duran,Can You Keep a Secret?,5.3,6.553,16421.0,12.579,0.62,0.58,0.6
tm441231,Kyle Newacheck,Murder Mystery,6.0,6.2,124599.0,22.376,0.78,0.63,0.7
tm843444,Spike Lee,Da 5 Bloods,6.5,6.6,50520.0,16.232,0.71,0.6,0.66
tm832916,George Clooney,The Midnight Sky,5.6,5.8,82362.0,22.231,0.74,0.63,0.68
tm458553,Amy Poehler,Wine Country,5.4,5.5,21213.0,11.397,0.64,0.57,0.6
tm886464,Tyler Spindel,The Wrong Missy,5.7,6.2,39237.0,31.686,0.69,0.66,0.68
tm417416,Justin Baldoni,Five Feet Apart,7.2,8.3,63916.0,86.377,0.73,0.74,0.74
tm439163,William Brent Bell,Brahms: The Boy II,4.7,6.017,17048.0,29.249,0.62,0.65,0.64
tm426428,Jenny Gage,After,5.2,7.166,53460.0,238.494,0.71,0.82,0.76
tm441232,Jennifer Kaytin Robinson,Someone Great,6.1,6.4,22277.0,14.238,0.64,0.59,0.62
tm450262,Alex Parkinson,Last Breath,7.7,7.7,5800.0,5.855,0.54,0.52,0.53
tm450262,Richard Da Costa,Last Breath,7.7,7.7,5800.0,5.855,0.54,0.52,0.53
tm435520,Fernando Meirelles,The Two Popes,7.6,7.5,122069.0,11.465,0.77,0.57,0.67
tm443615,Ben Wheatley,Rebecca,6.0,6.3,41232.0,11.042,0.69,0.57,0.63
tm432765,Emma Tammi,The Wind,5.5,5.6,8242.0,10.601,0.57,0.57,0.57
tm456436,Kitao Sakurai,Bad Trip,6.5,6.1,24537.0,73.507,0.65,0.72,0.68
tm470240,Alice Wu,The Half of It,6.9,7.2,36576.0,17.948,0.68,0.61,0.64
tm458585,Craig Brewer,Dolemite Is My Name,7.2,7.0,60334.0,11.036,0.72,0.57,0.64
tm678022,Ryan Murphy,The Prom,5.9,6.2,26197.0,1.596,0.66,0.42,0.54
tm361746,Claire McCarthy,Ophelia,6.6,7.3,10357.0,17.715,0.59,0.61,0.6
tm821143,George C. Wolfe,Ma Rainey's Black Bottom,6.9,6.7,50988.0,10.662,0.71,0.57,0.64
tm453862,Emil Atageldijev,The Call,7.1,7.6,30772.0,33.987,0.67,0.66,0.66
tm849022,Ron Howard,Hillbilly Elegy,6.7,6.8,41469.0,12.825,0.69,0.58,0.64
tm358770,Alice Waddington,Paradise Hills,5.3,6.022,22454.0,17.062,0.65,0.61,0.63
tm420826,John Lee Hancock,The Highwaymen,6.9,6.7,89893.0,14.256,0.75,0.59,0.67
tm372066,Julia Hart,Fast Color,6.0,6.0,6276.0,8.954,0.55,0.55,0.55
tm499045,Luke Sparke,Occupation: Rainfall,5.2,6.5,14219.0,16.63,0.61,0.6,0.6
tm836438,Justin Dec,Countdown,,6.4,2591.0,39.006,0.48,0.67,0.57
tm444017,Joe Berlinger,"Extremely Wicked, Shockingly Evil and Vile",6.7,7.0,92156.0,19.891,0.75,0.62,0.68
tm433462,Marc Meyers,We Summon the Darkness,5.2,5.5,10483.0,8.183,0.59,0.55,0.57
tm927718,Quoc Bao Tran,The Paper Tigers,6.3,6.9,4341.0,4.665,0.52,0.5,0.51
tm548602,Scott Aukerman,Between Two Ferns: The Movie,6.1,6.0,32036.0,12.486,0.67,0.58,0.62
tm325325,Louie Psihoyos,The Game Changers,7.8,7.4,19942.0,11.211,0.64,0.57,0.6
tm845484,Kirsten Johnson,Dick Johnson Is Dead,7.4,7.4,6511.0,7.932,0.55,0.55,0.55
tm332071,Dan Gilroy,Velvet Buzzsaw,5.7,5.3,60629.0,16.079,0.72,0.6,0.66
tm943774,Christopher Alender,The Old Ways,5.4,7.2,6035.0,9.583,0.54,0.56,0.55
tm824488,Alex Siddons,The Art of Incarceration,8.6,,25.0,0.664,0.12,0.35,0.24
tm428557,Steven Soderbergh,The Laundromat,6.3,6.0,49391.0,10.319,0.71,0.57,0.64
tm878333,Tetsuo Yajima,Pokémon the Movie: Secrets of the Jungle,6.4,7.027,1942.0,110.86,0.46,0.76,0.61
tm893480,Ariel Schulman,Project Power,6.0,6.5,86407.0,22.48,0.75,0.63,0.69
tm893480,Henry Joost,Project Power,6.0,6.5,86407.0,22.48,0.75,0.63,0.69
tm413660,Vincenzo Natali,In the Tall Grass,5.4,5.5,55276.0,15.188,0.71,0.6,0.66
tm820190,Cho Il,#Alive,6.3,7.3,38313.0,58.967,0.69,0.71,0.7
tm853953,Don Michael Paul,Tremors: Shrieker Island,,6.3,2591.0,21.871,0.48,0.63,0.55
tm464662,Paul Solet,Tread,7.1,6.7,3074.0,2.637,0.49,0.46,0.48
tm455568,Alexandre Lehmann,Paddleton,7.1,7.0,13791.0,7.339,0.61,0.54,0.57
tm471967,Liz Garbus,Lost Girls,6.1,6.1,21588.0,12.547,0.64,0.58,0.61
tm447788,Chris Smith,Fyre,7.2,6.9,45728.0,9.805,0.7,0.56,0.63
tm361998,Antonin Baudry,The Wolf's Call,6.9,7.6,17468.0,15.545,0.63,0.6,0.62
tm451078,Kunihiko Yuyama,Pokemon the Movie: Mewtwo Strikes Back - Evolution,5.7,6.7,5475.0,146.188,0.54,0.78,0.66
tm451078,Motonori Sakakibara,Pokemon the Movie: Mewtwo Strikes Back - Evolution,5.7,6.7,5475.0,146.188,0.54,0.78,0.66
tm414341,Gideon Raff,The Red Sea Diving Resort,6.6,6.9,28051.0,14.205,0.66,0.59,0.62
tm450375,Abhijit Panse,Thackeray,5.3,5.3,3365.0,2.821,0.5,0.46,0.48
tm437221,Mary Harron,Charlie Says,5.9,5.9,4474.0,11.349,0.52,0.57,0.54
tm845496,Nicole Newnham,Crip Camp: A Disability Revolution,7.7,7.3,7428.0,10.547,0.56,0.57,0.56
tm845496,James Lebrecht,Crip Camp: A Disability Revolution,7.7,7.3,7428.0,10.547,0.56,0.57,0.56
tm449105,Jonas Åkerlund,Polar,6.3,6.3,88281.0,30.208,0.75,0.65,0.7
tm418847,John R. Leonetti,The Silence,5.3,6.04,44818.0,35.51,0.7,0.67,0.68
tm498803,Peter Berg,Spenser Confidential,6.2,6.545,86593.0,21.502,0.75,0.63,0.69
tm819950,Paul Thomas Anderson,Anima,,7.4,2591.0,7.375,0.48,0.54,0.51
tm315255,Wilson Yip,Ip Man 4: The Finale,7.0,7.2,31692.0,19.541,0.67,0.62,0.64
tm853783,Keith Scholey,David Attenborough: A Life on Our Planet,8.9,8.5,31625.0,15.935,0.67,0.6,0.64
tm853783,Jonathan Hughes,David Attenborough: A Life on Our Planet,8.9,8.5,31625.0,15.935,0.67,0.6,0.64
tm853783,Alastair Fothergill,David Attenborough: A Life on Our Planet,8.9,8.5,31625.0,15.935,0.67,0.6,0.64
tm411750,Tony Giglio,Doom: Annihilation,3.7,4.9,9281.0,29.955,0.58,0.65,0.62
tm469991,Salvatore Vitiello,I Lost My Body,7.5,7.5,32380.0,11.079,0.67,0.57,0.62
tm877681,Mike Elliott,American Pie Presents: Girls' Rules,,6.3,2591.0,50.358,0.48,0.69,0.58
tm434553,RZA,Cut Throat City,4.8,6.6,2594.0,10.445,0.48,0.57,0.52
tm428558,Steven Soderbergh,High Flying Bird,6.2,5.7,8616.0,7.304,0.57,0.54,0.55
tm927037,David Oyelowo,The Water Man,5.4,6.2,3880.0,13.201,0.51,0.59,0.55
tm884511,Vicky Wight,The Lost Husband,6.1,7.0,4739.0,7.282,0.53,0.54,0.54
tm285317,Jonathan Helpert,IO,4.7,4.9,34180.0,25.116,0.68,0.64,0.66
tm817709,Sarah Gavron,Rocks,7.4,6.7,4711.0,7.28,0.53,0.54,0.54
tm845512,Jeff Baena,Horse Girl,,5.6,2591.0,14.15,0.48,0.59,0.53
tm824477,Glen Keane,Over the Moon,6.3,7.3,22034.0,75.251,0.64,0.73,0.68
tm927480,Rebecca Harrell Tickell,Kiss the Ground,8.2,8.1,6736.0,6.272,0.55,0.53,0.54
tm927480,Joshua Tickell,Kiss the Ground,8.2,8.1,6736.0,6.272,0.55,0.53,0.54
tm444247,Tom Donahue,This Changes Everything,7.6,6.5,1580.0,4.764,0.44,0.5,0.47
tm355783,Ciarán Foy,Eli,5.8,6.0,35214.0,31.78,0.68,0.66,0.67
tm449195,Chiwetel Ejiofor,The Boy Who Harnessed the Wind,7.6,7.9,37527.0,35.031,0.68,0.66,0.67
tm925486,Dimitri Logothetis,Jiu Jitsu,2.9,5.0,8693.0,96.709,0.57,0.75,0.66
tm934040,Jenny Popplewell,American Murder: The Family Next Door,7.2,7.3,27193.0,11.309,0.66,0.57,0.62
tm469193,Mati Diop,Atlantics,6.7,6.7,9405.0,11.349,0.58,0.57,0.57
tm420455,Daria Kasperek,Rim of the World,5.2,6.0,23987.0,22.933,0.65,0.63,0.64
tm925584,Peter Facinelli,The Vanished,5.7,6.0,10378.0,13.281,0.59,0.59,0.59
tm914535,Lance Hool,2 Hearts,6.2,7.7,3801.0,16.578,0.51,0.6,0.55
tm423140,Jesse V. Johnson,Avengement,6.5,6.8,15685.0,17.407,0.62,0.61,0.62
tm348403,Richard Phelan,A Shaun the Sheep Movie: Farmageddon,6.8,6.93,13485.0,16.792,0.61,0.61,0.61
tm348403,Will Becher,A Shaun the Sheep Movie: Farmageddon,6.8,6.93,13485.0,16.792,0.61,0.61,0.61
tm878842,Peter Galison,The Edge of All We Know,6.6,6.8,2422.0,7.7,0.47,0.54,0.5
tm453099,Martin Scorsese,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,7.6,7.2,6730.0,9.859,0.55,0.56,0.56
tm446176,Steven Bognar,American Factory,7.4,7.2,21694.0,12.978,0.64,0.58,0.61
tm446176,Julia Reichert,American Factory,7.4,7.2,21694.0,12.978,0.64,0.58,0.61
tm316311,Olivier Assayas,Wasp Network,5.9,6.1,10368.0,10.195,0.59,0.57,0.58
tm375883,Sergio Pablos,Klaus,8.1,8.3,143737.0,20.85,0.79,0.62,0.7
tm974366,Robert Rodriguez,We Can Be Heroes,4.7,6.2,14759.0,72.986,0.61,0.72,0.66
tm443179,Brett Haley,All the Bright Places,6.5,7.7,28355.0,81.765,0.66,0.73,0.7
tm498034,Taylor Morden,The Last Blockbuster,6.7,6.6,5448.0,8.213,0.54,0.55,0.55
tm446609,Karim Amer,The Great Hack,7.1,6.9,22838.0,15.376,0.65,0.6,0.62
tm446609,Jehane Noujaim,The Great Hack,7.1,6.9,22838.0,15.376,0.65,0.6,0.62
tm810547,Park Hoon-jung,Night in Paradise,6.7,6.9,6747.0,61.796,0.55,0.71,0.63
tm919864,Chaitanya Tamhane,The Disciple,7.1,6.8,2567.0,3.49,0.48,0.48,0.48
tm827508,Joe Mantello,The Boys in the Band,6.8,6.8,15376.0,11.082,0.62,0.57,0.6
tm845415,Lana Wilson,Miss Americana,7.4,7.9,19482.0,16.672,0.63,0.6,0.62
tm822246,Radha Blank,The Forty-Year-Old Version,7.2,6.9,5003.0,11.646,0.53,0.58,0.55
tm948128,Helena Coan,Audrey,7.1,7.1,1960.0,8.723,0.46,0.55,0.5
tm828069,Nick Rowland,Calm with Horses,6.8,6.4,5649.0,6.1,0.54,0.52,0.53
tm935309,Liam O'Donnell,Skylines,4.7,5.6,8139.0,92.324,0.57,0.74,0.66
tm458467,Travis Stevens,Girl on the Third Floor,4.7,5.3,10005.0,10.168,0.58,0.57,0.57
tm426638,Chanya Button,Vita & Virginia,5.7,6.9,3823.0,8.037,0.51,0.55,0.53
tm852996,Todd Grimes,Captain Underpants: Epic Choice-o-rama,6.4,8.0,80.0,4.5,0.21,0.5,0.36
tm464557,Chris Nelson,The Perfect Date,5.8,6.5,38796.0,51.174,0.69,0.7,0.7
tm554944,Dean Craig,Love Wedding Repeat,5.5,5.66,20412.0,10.708,0.64,0.57,0.6
tm845437,Sam Feder,Disclosure,8.2,8.2,5421.0,13.019,0.54,0.58,0.56
tm463385,Don Argott,Framing John DeLorean,6.5,6.2,2331.0,4.842,0.47,0.51,0.49
tm463385,Sheena M. Joyce,Framing John DeLorean,6.5,6.2,2331.0,4.842,0.47,0.51,0.49
tm856375,Patrice Laliberté,The Decline,6.0,6.2,8782.0,7.679,0.57,0.54,0.55
tm822907,Callie Khouri,Patsy & Loretta,6.8,6.6,1062.0,4.824,0.41,0.51,0.46
tm952590,,What Lies Below,4.3,5.4,8290.0,35.418,0.57,0.67,0.62
tm918706,Trish Sie,The Sleepover,5.6,6.5,10399.0,9.88,0.59,0.56,0.57
tm910040,Morgan Ingari,Milkwater,,4.3,2591.0,1.692,0.48,0.42,0.45
tm831061,Santha Kumar,Magamuni,7.8,6.9,2207.0,1.418,0.47,0.41,0.44
tm827216,Mike Binder,Bill Burr: Paper Tiger,8.1,7.3,10979.0,6.16,0.59,0.52,0.55
tm497383,Greg Barker,Sergio,6.2,6.7,9698.0,11.893,0.58,0.58,0.58
tm475252,Jonathan Augustin,The Lift Boy,7.1,6.8,2666.0,1.422,0.48,0.41,0.44
tm887450,Barry Avrich,Made You Look: A True Story About Fake Art,7.0,7.0,4230.0,4.929,0.52,0.51,0.52
tm898474,Just Philippot,The Swarm,5.3,5.817,6892.0,11.418,0.55,0.57,0.56
tm852097,Junichi Sato,A Whisker Away,6.7,8.0,9818.0,64.583,0.58,0.71,0.64
tm852097,Tomotaka Shibayama,A Whisker Away,6.7,8.0,9818.0,64.583,0.58,0.71,0.64
tm471878,Marco Pontecorvo,Fatima,6.5,7.2,3232.0,8.184,0.5,0.55,0.52
tm827142,Stan Lathan,Dave Chappelle: Sticks & Stones,8.4,7.646,26075.0,7.885,0.66,0.54,0.6
tm828317,Ed Perkins,Tell Me Who I Am,7.6,7.5,14466.0,6.542,0.61,0.53,0.57
tm918734,Ricky Staub,Concrete Cowboy,6.3,6.2,8660.0,8.139,0.57,0.55,0.56
tm818502,María Ripoll,"Live Twice, Love Once",7.2,7.5,6588.0,14.209,0.55,0.59,0.57
tm926004,,The Boss Baby: Get That Baby!,,7.0,2591.0,56.526,0.48,0.7,0.59
tm490222,Prentice Penny,Uncorked,6.4,6.1,5588.0,8.757,0.54,0.55,0.55
tm467579,William Bindley,The Last Summer,,6.0,2591.0,20.86,0.48,0.62,0.55
tm452826,Zara Hayes,Poms,6.0,6.6,6274.0,9.696,0.55,0.56,0.56
tm928541,Conrad Helten,Barbie: Princess Adventure,5.5,7.3,474.0,79.617,0.35,0.73,0.54
tm858954,Bartosz M. Kowalski,Nobody Sleeps in the Woods Tonight,4.9,5.0,11603.0,91.502,0.59,0.74,0.66
tm845549,Jerry Rothwell,The Reason I Jump,7.5,7.2,835.0,2.638,0.39,0.46,0.43
tm432022,Taichi Ishidate,Violet Evergarden: The Movie,8.3,8.5,6099.0,19.795,0.55,0.62,0.58
tm475783,Shannon Hartman,Jo Koy: Comin’ In Hot,7.3,7.1,1049.0,2.53,0.41,0.45,0.43
tm452851,Yuval Adler,The Operative,5.7,5.7,6250.0,18.028,0.55,0.61,0.58
tm465724,Stefon Bristol,See You Yesterday,5.2,5.6,10725.0,7.583,0.59,0.54,0.56
tm849005,Kris Pearn,The Willoughbys,6.3,7.1,18662.0,22.543,0.63,0.63,0.63
tm451512,Vicky Jewson,Close,5.7,5.82,24755.0,17.405,0.65,0.61,0.63
tm369389,Almudena Carracedo,The Silence of Others,8.0,8.2,2096.0,9.886,0.46,0.56,0.51
tm369389,Robert Bahar,The Silence of Others,8.0,8.2,2096.0,9.886,0.46,0.56,0.51
tm933375,Maïmouna Doucouré,Cuties,3.4,5.3,30338.0,10.271,0.67,0.57,0.62
tm471922,Rebecca Zlotowski,An Easy Girl,5.6,5.6,5045.0,16.345,0.53,0.6,0.56
tm465231,Ryan Polito,Nate Bargatze: The Tennessee Kid,7.6,7.5,1835.0,2.578,0.45,0.45,0.45
tm922788,McG,The Babysitter: Killer Queen,5.8,6.4,38684.0,83.924,0.69,0.73,0.71
tm827501,Nzingha Stewart,Tall Girl,5.2,6.4,23452.0,25.358,0.65,0.64,0.64
tm936236,Jarand Herdal,Cadaver,5.1,5.6,9860.0,39.028,0.58,0.67,0.62
tm120072,Luke Snellin,Let It Snow,5.8,6.101,21828.0,14.599,0.64,0.59,0.62
tm936396,John Whitesell,Holidate,6.1,7.1,63070.0,13.344,0.72,0.59,0.66
tm676311,Cooper Karl,Sightless,5.5,7.0,8368.0,9.633,0.57,0.56,0.56
tm464351,Dee Rees,The Last Thing He Wanted,4.3,4.9,15238.0,12.128,0.62,0.58,0.6
tm493175,Sam Dunn,ZZ Top: That Little Ol' Band from Texas,7.5,7.5,1732.0,4.222,0.45,0.49,0.47
tm283581,Thiagarajan Kumararaja,Super Deluxe,8.4,7.8,13680.0,7.084,0.61,0.54,0.57
tm447439,Nora Fingscheidt,System Crasher,7.8,7.7,12874.0,10.356,0.6,0.57,0.58
tm885775,Claire Scanlon,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,6.9,6.4,5376.0,8.317,0.54,0.55,0.55
tm835486,Gillian Robespierre,Jenny Slate: Stage Fright,5.8,5.9,1291.0,3.462,0.43,0.48,0.45
tm511940,Matt Aselton,Lying and Stealing,5.4,6.0,5818.0,20.588,0.54,0.62,0.58
tm837756,Fernando Frias,I'm No Longer Here,7.3,7.7,7918.0,17.342,0.57,0.61,0.59
tm460829,Ayumu Watanabe,Children of the Sea,6.5,7.2,2850.0,17.945,0.49,0.61,0.55
tm853396,Ivan Silvestrini,Dragonheart: Vengeance,,7.0,2591.0,35.14,0.48,0.66,0.57
tm877456,Julia Reichert,9to5: The Story of A Movement,7.4,6.8,238.0,1.777,0.3,0.42,0.36
tm877456,Steven Bognar,9to5: The Story of A Movement,7.4,6.8,238.0,1.777,0.3,0.42,0.36
tm459512,Michael Fimognari,To All the Boys: P.S. I Still Love You,6.0,6.898,37471.0,38.468,0.68,0.67,0.68
