,name,movie_directed,num_of_movie,sum_score,sum_nor_popularity,avg_score,avg_nor_popularity,nor_movie_count,scaled_avg_score
278,David Zeiger,['tm175687'],1,7.3,4.2,7.3,4.2,0.0,0.73
279,Christopher Martin,['tm352243'],1,5.5,3.8,5.5,3.8,0.0,0.55
280,Ömer Faruk Sorak,['tm82718'],1,7.6,6.3,7.6,6.3,0.0,0.76
281,Sanjay Leela Bhansali,"['tm98975', 'tm857461']",2,14.75,12.3,7.375,6.15,1.7243743076436346,0.74
282,Prakash Jha,"['tm101609', 'tm164591', 'tm130301', 'tm167342']",4,26.65,21.1,6.6625,5.275,3.8968290113739616,0.67
283,Abbas Tyrewala,['tm39557'],1,7.1,6.0,7.1,6.0,0.0,0.71
284,Soi Cheang,['tm150521'],1,6.6,5.0,6.6,5.0,0.0,0.66
285,Manny Rodriguez,"['tm30289', 'tm53034', 'tm37175', 'tm281182', 'tm452573']",5,36.1,23.3,7.219999999999999,4.66,4.672211657076773,0.72
286,Tensai Okamura,['tm80339'],1,6.9,6.2,6.9,6.2,0.0,0.69
287,Milan Luthria,"['tm33729', 'tm96168', 'tm85369', 'tm175909', 'tm181550', 'tm307767']",6,35.25,30.700000000000003,5.875,5.116666666666667,5.327788342923227,0.59
288,Ayan Mukerji,['tm145243'],1,7.35,5.9,7.35,5.9,0.0,0.74
289,Atsuji Shimizu,['tm34524'],1,7.05,5.6000000000000005,7.05,5.6000000000000005,0.0,0.7
290,Vikram Bhatt,['tm111226'],1,5.85,5.4,5.85,5.4,0.0,0.58
291,Vishal Bhardwaj,"['tm166293', 'tm149209', 'tm179451', 'tm148910']",4,27.75,21.7,6.9375,5.425,3.8968290113739616,0.69
292,Toshiyuki Tsuru,['tm24576'],1,6.7,6.1,6.7,6.1,0.0,0.67
293,Abhishek Chaubey,"['tm92977', 'tm154729', 'tm240162', 'tm1091284']",4,27.0,21.1,6.75,5.275,3.8968290113739616,0.68
294,Anurag Basu,"['tm77348', 'tm254052', 'tm68436', 'tm307774', 'tm847805']",5,32.65,27.7,6.529999999999999,5.54,4.672211657076773,0.65
295,Punit Malhotra,"['tm91323', 'tm177224']",2,11.25,10.5,5.625,5.25,1.7243743076436346,0.56
296,Amol Palekar,['tm164389'],1,6.3,5.6000000000000005,6.3,5.6000000000000005,0.0,0.63
297,Abhishek Kapoor,"['tm37945', 'tm182322', 'tm233015', 'tm963023']",4,27.0,22.3,6.75,5.574999999999999,3.8968290113739616,0.68
298,Dibakar Banerjee,"['tm106625', 'tm43179', 'tm178513', 'tm419496', 'tm848663']",5,32.1,26.300000000000004,6.42,5.260000000000001,4.672211657076773,0.64
299,Takahiro Imamura,['tm65142'],1,6.800000000000001,5.6000000000000005,6.800000000000001,5.6000000000000005,0.0,0.68
300,Danish Aslam,['tm99450'],1,5.449999999999999,5.0,5.449999999999999,5.0,0.0,0.54
301,Josef Fares,['tm160596'],1,6.25,4.6000000000000005,6.25,4.6000000000000005,0.0,0.62
302,Zoya Akhtar,"['tm129971', 'tm182125', 'tm178513', 'tm208628', 'tm419496', 'tm848663']",6,39.7,33.7,6.616666666666667,5.616666666666667,5.327788342923227,0.66
303,Hirotsugu Kawasaki,['tm177687'],1,6.5,6.0,6.5,6.0,0.0,0.65
304,Reema Kagti,"['tm77863', 'tm57610']",2,12.7,11.2,6.35,5.6,1.7243743076436346,0.64
305,Navdeep Singh,['tm80455'],1,7.05,5.300000000000001,7.05,5.300000000000001,0.0,0.7
306,Kiran Rao,['tm184732'],1,6.7,5.699999999999999,6.7,5.699999999999999,0.0,0.67
307,Vijay Lalwani,['tm103133'],1,6.699999999999999,5.699999999999999,6.699999999999999,5.699999999999999,0.0,0.67
