name,movie acted,num_of_movie,sum_score,sum_popularity,avg_score,avg_popularity,ClusterLabel
RZA,"['tm233345', 'tm434553']",2,1.0330084470435348,4.500476114873425,0.5165042235217674,2.2502380574367127,1
Shivam Nair,['tm309115'],1,0.569070825211176,1.9878743481543453,0.569070825211176,1.9878743481543453,1
Fernando Lebrija,['tm320206'],1,0.5327485380116959,2.4595888418037104,0.5327485380116959,2.4595888418037104,1
Louis J. Horvitz,['tm351688'],1,0.609551656920078,1.5040773967762742,0.609551656920078,1.5040773967762742,1
Jordan Riber,"['tm362264', 'tm440208']",2,1.5102664067576348,1.5686159179138452,0.7551332033788174,0.7843079589569226,1
Franck Phelizon,['tm463827'],1,0.3463287849252762,1.8082887711792652,0.3463287849252762,1.8082887711792652,1
Mohamed Gamal Al Adl,['tm421125'],1,0.5766731643924626,1.029619417181158,0.5766731643924626,1.029619417181158,1
Amy Schumer,"['tm311283', 'tm458721']",2,0.8289798570500324,3.681099266794974,0.4144899285250162,1.840549633397487,1
David Oelhoffen,['tm418870'],1,0.5866796621182586,2.19722457733622,0.5866796621182586,2.19722457733622,1
Bille August,['tm413955'],1,0.6886939571150097,2.4159137783010487,0.6886939571150097,2.4159137783010487,1
Robert Vince,"['tm348073', 'tm444576', 'tm413266']",3,1.2812865497076025,4.9597629637225,0.4270955165692007,1.6532543212408333,1
Jérôme Perrillat-Collomb,['tm359658'],1,0.4853801169590643,2.19722457733622,0.4853801169590643,2.19722457733622,1
Jim Gable,['tm357272'],1,0.7335282651072126,1.6486586255873816,0.7335282651072126,1.6486586255873816,1
Barbra Streisand,['tm357272'],1,0.7335282651072126,1.6486586255873816,0.7335282651072126,1.6486586255873816,1
Jota Linares,"['tm408892', 'tm461827', 'tm1182144']",3,1.492267706302794,9.511832889701369,0.497422568767598,3.170610963233789,0
Maz Jobrani,['tm337040'],1,0.6209876543209877,0.9555114450274363,0.6209876543209877,0.9555114450274363,1
Marco Deufemia,['tm361505'],1,0.4060428849902534,2.2300144001592104,0.4060428849902534,2.2300144001592104,1
Bruno Ascenzo,"['tm417111', 'tm1177856']",2,1.2274204028589994,6.8464116487410855,0.6137102014294997,3.4232058243705428,0
Joanna Lombardi,['tm417111'],1,0.6155295646523716,2.2925347571405443,0.6155295646523716,2.2925347571405443,1
Juan Antin,['tm429984'],1,0.674528914879792,1.88706964903238,0.674528914879792,1.88706964903238,1
Mohamed Ben Attia,['tm412489'],1,0.6139051332033789,1.029619417181158,0.6139051332033789,1.029619417181158,1
Haifaa al-Mansour,['tm429382'],1,0.6551007147498376,2.525728644308256,0.6551007147498376,2.525728644308256,0
Antonio Morabito,['tm411313'],1,0.5848602988953866,1.9315214116032136,0.5848602988953866,1.9315214116032136,1
David Mrnka,['tm367264'],1,0.638401559454191,2.26176309847379,0.638401559454191,2.26176309847379,1
Jakob Lass,['tm334949'],1,0.4354775828460039,1.1314021114911006,0.4354775828460039,1.1314021114911006,1
Craig Elrod,['tm365961'],1,0.5901234567901235,1.1631508098056809,0.5901234567901235,1.1631508098056809,1
Prakash Kunte,['tm413418'],1,0.7389863547758284,0.8754687373538999,0.7389863547758284,0.8754687373538999,1
Daryl Hannah,['tm370440'],1,0.3113060428849902,1.824549292051046,0.3113060428849902,1.824549292051046,1
Samuel Jouy,['tm328052'],1,0.5814165042235218,1.6486586255873816,0.5814165042235218,1.6486586255873816,1
Kim Hong-sun,['tm359975'],1,0.6463937621832359,2.272125885509337,0.6463937621832359,2.272125885509337,1
Pablo Giorgelli,['tm348467'],1,0.5567251461988304,2.533696813957432,0.5567251461988304,2.533696813957432,0
Chris Robinson,"['tm326270', 'tm860965', 'tm475339']",3,2.03411306042885,5.689277788453319,0.6780376868096166,1.89642592948444,1
Marco Risi,['tm444821'],1,0.3799220272904484,2.2823823856765264,0.3799220272904484,2.2823823856765264,1
Abhijeet Deshpande,['tm443537'],1,0.757504873294347,0.8754687373538999,0.757504873294347,0.8754687373538999,1
Anggy Umbara,['tm435487'],1,0.5205977907732294,2.079441541679836,0.5205977907732294,2.079441541679836,1
Anna Zaytseva,['tm422715'],1,0.7124756335282652,1.9459101490553128,0.7124756335282652,1.9459101490553128,1
David de Vos,['tm558730'],1,0.6768680961663418,1.5686159179138452,0.6768680961663418,1.5686159179138452,1
Judah Friedlander,['tm356666'],1,0.752046783625731,1.1939224684724346,0.752046783625731,1.1939224684724346,1
Chester Tam,['tm285329'],1,0.4448992852501625,2.26176309847379,0.4448992852501625,2.26176309847379,1
Yam Laranas,['tm422359'],1,0.4044184535412606,1.1939224684724346,0.4044184535412606,1.1939224684724346,1
Jang Yoo-jung,['tm357708'],1,0.5997400909681612,1.6863989535702288,0.5997400909681612,1.6863989535702288,1
Lenin Bharathi,['tm244310'],1,0.8014294996751137,1.1631508098056809,0.8014294996751137,1.1631508098056809,1
Yeşim Ustaoğlu,['tm247631'],1,0.5981156595191683,1.2237754316221157,0.5981156595191683,1.2237754316221157,1
Maïa Sandoz,"['tm366025', 'tm837648']",2,1.4615984405458091,3.2733640101522705,0.7307992202729046,1.6366820050761353,1
Jesse Handsher,['tm428597'],1,0.5363872644574399,1.0986122886681098,0.5363872644574399,1.0986122886681098,1
Andreas Pichler,['tm352033'],1,0.6605588044184536,0.9555114450274363,0.6605588044184536,0.9555114450274363,1
