name,movie acted,num_of_movie,sum_score,sum_popularity,avg_score,avg_popularity,ClusterLabel
Eduardo Pinto,['tm96052'],1,5.3,0.36,5.3,0.36,0
Benny Chan,['tm62369'],1,6.449999999999999,0.49,6.449999999999999,0.49,2
Anil V. Kumar,['tm254052'],1,4.25,0.42,4.25,0.42,0
Cathy Garcia-Molina,"['tm100106', 'tm28024', 'tm166723', 'tm142852', 'tm169669', 'tm232710', 'tm430059', 'tm353791', 'tm307698', 'tm445852', 'tm368697', 'tm683841']",12,85.95,4.83,7.1625000000000005,0.4025,1
Santram Varma,['tm85689'],1,5.3,0.41,5.3,0.41,0
Michael Simon,"['tm38454', 'tm181856', 'tm225675', 'tm374226', 'tm348175']",5,34.0,2.23,6.8,0.446,1
David Dhawan,"['tm42831', 'tm175753', 'tm321073']",3,15.0,1.51,5.0,0.5033333333333333,0
Everardo González,"['tm216753', 'tm835357']",2,14.0,0.85,7.0,0.425,2
Puneet Sira,['tm142153'],1,5.9,0.38,5.9,0.38,0
Felix Chong,['tm92671'],1,6.0,0.41,6.0,0.41,0
Sasi Shankar,['tm88343'],1,6.5,0.47,6.5,0.47,2
Deepti Naval,['tm628693'],1,6.35,0.34,6.35,0.34,2
Najwa Najjar,"['tm155774', 'tm157681']",2,12.25,0.75,6.125,0.375,0
P. Vasu,['tm46867'],1,5.55,0.4,5.55,0.4,0
Vivek Agnihotri,['tm75544'],1,5.15,0.5,5.15,0.5,0
Indrajit Nattooji,['tm144263'],1,5.1,0.36,5.1,0.36,0
Michel Kammoun,['tm21155'],1,6.1,0.34,6.1,0.34,0
Partho Mitra,['tm311516'],1,6.35,0.36,6.35,0.36,2
Umesh Shukla,"['tm130999', 'tm47171']",2,12.75,1.05,6.375,0.525,2
Newton I. Aduaka,['tm85563'],1,6.050000000000001,0.38,6.050000000000001,0.38,0
Maryo J. de los Reyes,"['tm76399', 'tm272666']",2,12.0,0.7,6.0,0.35,0
Mahmood Ali-Balogun,['tm639940'],1,6.4,0.26,6.4,0.26,2
Todd S. Yellin,['tm252951'],1,6.55,0.32,6.55,0.32,2
Nima Nourizadeh,"['tm68272', 'tm208622']",2,12.8,1.48,6.4,0.74,2
Marc Webb,['tm44730'],1,6.800000000000001,0.84,6.800000000000001,0.84,2
Brad Bird,['tm166978'],1,7.2,0.8,7.2,0.8,2
J.C. Chandor,"['tm170442', 'tm244207']",2,13.3,1.41,6.65,0.705,2
Quentin Tarantino,"['tm41792', 'tm138905']",2,16.05,1.6,8.025,0.8,2
Tom Hooper,"['tm32982', 'tm199700']",2,14.75,1.46,7.375,0.73,2
Ben Affleck,['tm60292'],1,7.5,0.76,7.5,0.76,2
Jennifer Yuh Nelson,"['tm171885', 'tm120108']",2,14.05,1.54,7.025,0.77,2
Steven Soderbergh,"['tm158304', 'tm428557', 'tm428558']",3,18.8,1.94,6.266666666666667,0.6466666666666667,2
Baltasar Kormákur,"['tm36237', 'tm370212']",2,13.1,1.4,6.55,0.7,2
Len Wiseman,['tm74848'],1,6.1,0.76,6.1,0.76,0
Raja Gosnell,"['tm168921', 'tm166628', 'tm330869']",3,16.099999999999998,1.95,5.366666666666666,0.65,0
Sean McNamara,['tm160132'],1,7.05,0.7,7.05,0.7,2
Lisa Azuelos,['tm49592'],1,5.199999999999999,0.66,5.199999999999999,0.66,0
Jaume Collet-Serra,['tm167232'],1,6.75,0.77,6.75,0.77,2
Peter Ramsey,['tm38980'],1,7.300000000000001,0.75,7.300000000000001,0.75,2
Frank Coraci,"['tm69926', 'tm214825']",2,11.3,1.37,5.65,0.685,0
Toshiyuki Kubooka,"['tm60844', 'tm38064', 'tm167944']",3,22.75,1.84,7.583333333333333,0.6133333333333333,2
Keishi Ōtomo,"['tm62210', 'tm855075', 'tm858000']",3,22.65,1.96,7.55,0.6533333333333333,2
Dan Rush,['tm106278'],1,6.25,0.64,6.25,0.64,0
Hwang Dong-hyuk,"['tm182586', 'tm145791', 'tm305112']",3,22.05,1.6800000000000002,7.35,0.56,2
Scott Spiegel,['tm178395'],1,5.25,0.57,5.25,0.57,0
Mikael Håfström,"['tm173195', 'tm983270']",2,11.95,1.42,5.975,0.71,0
Dustin Hoffman,['tm69386'],1,6.65,0.6,6.65,0.6,2
Sarah Smith,['tm174683'],1,6.9,0.68,6.9,0.68,2
Ryan Polito,"['tm72845', 'tm316731', 'tm245148', 'tm193378', 'tm408306', 'tm320756', 'tm465231', 'tm835445', 'tm1207097', 'tm1207098', 'tm1185421', 'tm1207099', 'tm1207096', 'tm1174920', 'tm1200703']",15,94.2,6.7,6.279999999999999,0.4466666666666666,1
Jake Szymanski,['tm72845'],1,8.149999999999999,0.52,8.149999999999999,0.52,2
Tim Hill,['tm170758'],1,5.550000000000001,0.65,5.550000000000001,0.65,0
Catherine Hardwicke,['tm174256'],1,5.7,0.7,5.7,0.7,0
John Mitchell,['tm56296'],1,6.949999999999999,0.5,6.949999999999999,0.5,2
Jeremy Kipp Walker,['tm56296'],1,6.949999999999999,0.5,6.949999999999999,0.5,2
Todd Strauss-Schulson,['tm160371'],1,6.1,0.67,6.1,0.67,0
Cal Brunker,['tm183547'],1,5.75,0.64,5.75,0.64,0
Tatsuya Nagamine,['tm59590'],1,7.65,0.63,7.65,0.63,2
Lee Hirsch,['tm161904'],1,7.300000000000001,0.56,7.300000000000001,0.56,2
Nadine Khan,['tm44165'],1,6.6,0.31,6.6,0.31,2
Eliane Raheb,['tm57436'],1,7.5,0.27,7.5,0.27,2
Eric Idle,"['tm72251', 'tm148597']",2,14.5,0.95,7.25,0.475,2
Aubrey Powell,"['tm72251', 'tm148597']",2,14.5,0.95,7.25,0.475,2
Susan Lacy,['tm53625'],1,7.449999999999999,0.46,7.449999999999999,0.46,2
Michael Damian,['tm160361'],1,6.699999999999999,0.6,6.699999999999999,0.6,2
Abhinay Deo,"['tm177258', 'tm172883', 'tm272854']",3,18.85,1.6,6.283333333333334,0.5333333333333333,2
T.J. Martin,['tm174190'],1,7.7,0.55,7.7,0.55,2
Daniel Lindsay,['tm174190'],1,7.7,0.55,7.7,0.55,2
Ernie Barbarash,"['tm65765', 'tm327199', 'tm359714', 'tm838687']",4,23.45,2.42,5.8625,0.605,1
Jordan Brady,['tm49451'],1,7.0,0.38,7.0,0.38,2
Michaël Prazan,['tm1096916'],1,7.9,0.31,7.9,0.31,2
Johnnie To,"['tm176128', 'tm165504']",2,12.75,0.98,6.375,0.49,2
Wai Ka-fai,['tm176128'],1,6.55,0.46,6.55,0.46,2
Jay Karas,"['tm67444', 'tm149038', 'tm245235', 'tm220317', 'tm227922', 'tm233023', 'tm242002', 'tm426202', 'tm300447', 'tm409494', 'tm366973', 'tm353627', 'tm836674', 'tm813936']",14,95.1,6.8,6.792857142857143,0.4857142857142857,1
Clay Glen,"['tm183176', 'tm242765', 'tm374357', 'tm1079495']",4,23.15,1.85,5.7875,0.4624999999999999,1
Savage Steve Holland,"['tm40860', 'tm158671', 'tm474061', 'tm918373']",4,23.0,1.95,5.75,0.4875,1
Tigmanshu Dhulia,"['tm35700', 'tm167107']",2,14.55,1.08,7.275,0.54,2
Claudio Fäh,['tm170395'],1,6.05,0.53,6.05,0.53,0
Krishna D.K.,['tm169053'],1,6.800000000000001,0.5,6.800000000000001,0.5,2
Raj Nidimoru,['tm169053'],1,6.800000000000001,0.5,6.800000000000001,0.5,2
Jonathan Judge,['tm53395'],1,3.8,0.5,3.8,0.5,0
Esen Işık,['tm177958'],1,7.3,0.57,7.3,0.57,2
Nitesh Tiwari,['tm178106'],1,7.25,0.5,7.25,0.5,2
Vikas Bahl,"['tm178106', 'tm156811', 'tm227044']",3,19.25,1.66,6.416666666666667,0.5533333333333333,2
Hala Lotfy,['tm169354'],1,5.95,0.32,5.95,0.32,0
Derek Yee Tung-Sing,['tm176111'],1,6.0,0.48,6.0,0.48,0
Arnab Chaudhuri,['tm59372'],1,6.45,0.27,6.45,0.27,2
Tolga Karaçelik,['tm161804'],1,6.35,0.48,6.35,0.48,2
Rajesh Mapuskar,['tm44615'],1,6.300000000000001,0.5,6.300000000000001,0.5,2
Yoshitomo Yonetani,"['tm54780', 'tm152273']",2,12.8,0.78,6.4,0.39,2
Prabhu Deva,['tm59289'],1,5.9,0.59,5.9,0.59,0
Shakun Batra,"['tm48239', 'tm233344', 'tm1033803']",3,18.1,1.59,6.033333333333334,0.53,0
Mysskin,"['tm54371', 'tm477006']",2,10.45,0.95,5.225,0.475,0
Siddique,['tm174518'],1,4.949999999999999,0.6,4.949999999999999,0.6,0
Craig Freimond,['tm70528'],1,6.5,0.4,6.5,0.4,2
Sachin Kundalkar,"['tm42306', 'tm1127479']",2,11.3,0.96,5.65,0.48,0
Mandeep Kumar,['tm39606'],1,6.0,0.5,6.0,0.5,0
Pawan Kripalani,['tm167241'],1,4.449999999999999,0.46,4.449999999999999,0.46,0
B. Unnikrishnan,['tm71992'],1,6.7,0.47,6.7,0.47,2
Cho Keun-hyun,['tm31948'],1,6.65,0.48,6.65,0.48,2
Ribhu Dasgupta,"['tm166810', 'tm233366', 'tm990835']",3,17.65,1.5,5.883333333333333,0.5,0
Janet Chun,['tm37573'],1,5.0,0.41,5.0,0.41,0
Hing-Ka Chan,['tm37573'],1,5.0,0.41,5.0,0.41,0
Chad Eikhoff,['tm169128'],1,3.9,0.4,3.9,0.4,0
Puri Jagannath,['tm172353'],1,5.4,0.46,5.4,0.46,0
Sameer Sharma,['tm34746'],1,6.449999999999999,0.48,6.449999999999999,0.48,2
Jun Robles Lana,"['tm29400', 'tm428483', 'tm839761', 'tm822167']",4,26.500000000000004,1.52,6.625000000000001,0.38,1
Vishal Mahadkar,['tm53360'],1,5.55,0.55,5.55,0.55,0
Bejoy Nambiar,"['tm180532', 'tm66466']",2,13.7,1.1,6.8500000000000005,0.55,2
Amr Salama,['tm162592'],1,8.2,0.48,8.2,0.48,2
A. L. Vijay,"['tm70652', 'tm467804', 'tm855340']",3,16.6,1.46,5.533333333333334,0.4866666666666666,0
Hanung Bramantyo,"['tm172211', 'tm316923', 'tm814953', 'tm851599']",4,28.4,1.54,7.1,0.385,1
Saji Surendran,['tm57256'],1,4.1,0.36,4.1,0.36,0
Andrew Wessels,['tm53829'],1,5.65,0.34,5.65,0.34,0
Jay Chapman,"['tm51412', 'tm152904', 'tm151210', 'tm149541', 'tm177376', 'tm220473', 'tm361770', 'tm316744', 'tm346390', 'tm362047', 'tm430496', 'tm1130275']",12,78.10000000000001,5.02,6.508333333333334,0.4183333333333333,1
Olivia M. Lamasan,"['tm38331', 'tm156397', 'tm244380']",3,20.15,1.1,6.716666666666666,0.3666666666666667,2
N. Linguswamy,"['tm30278', 'tm157062']",2,11.95,1.0,5.975,0.5,0
Rajan Madhav,['tm165932'],1,6.3,0.35,6.3,0.35,2
Mahdi Fleifel,"['tm63368', 'tm163066', 'tm350044', 'tm321563', 'tm852207']",5,32.75,2.11,6.55,0.422,1
Raaghav Dar,['tm235979'],1,5.15,0.37,5.15,0.37,0
Daniel Joseph,['tm946846'],1,6.4,0.41,6.4,0.41,2
Bahij Hojeij,['tm181366'],1,6.4,0.28,6.4,0.28,2
Ruel S. Bayani,"['tm60213', 'tm159623']",2,10.95,0.75,5.475,0.375,0
Wenn V. Deramas,"['tm34646', 'tm145658', 'tm233570']",3,13.5,1.13,4.5,0.3766666666666666,0
Susan Youssef,"['tm172504', 'tm813423', 'tm840152']",3,19.05,1.06,6.3500000000000005,0.3533333333333333,2
Paul King,['tm140389'],1,7.15,0.72,7.15,0.72,2
David Robert Mitchell,['tm150928'],1,6.699999999999999,0.8,6.699999999999999,0.8,2
Morten Tyldum,['tm140877'],1,8.0,0.8,8.0,0.8,2
Ron Howard,"['tm176864', 'tm849022']",2,14.65,1.4,7.325,0.7,2
Dan Gilroy,"['tm151663', 'tm332071']",2,13.25,1.46,6.625,0.73,2
Theodore Melfi,"['tm145655', 'tm1021871']",2,13.85,1.3,6.925,0.65,2
Dean DeBlois,['tm134967'],1,7.75,0.81,7.75,0.81,2
John Carney,['tm143227'],1,7.35,0.7,7.35,0.7,2
Brian Helgeland,"['tm169719', 'tm195209']",2,14.25,1.5,7.125,0.75,2
Scott Stewart,['tm175843'],1,6.3,0.68,6.3,0.68,2
